Reference,Value,Package,Mid X,Mid Y,Rotation,Side
"C1","4.7uF","C_0402_1005Metric",104.261500,-40.081200,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",109.347000,-40.081200,90.000000,top
"C3","4.7uF","C_0402_1005Metric",114.223800,-41.935400,90.000000,top
"C4","0.1uF","C_0402_1005Metric",103.251000,-53.213000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",104.261500,-41.935400,90.000000,top
"C6","0.1uF","C_0402_1005Metric",114.325400,-54.838600,0.000000,top
"C7","0.1uF","C_0402_1005Metric",103.296300,-41.935400,90.000000,top
"C8","0.1uF","C_0402_1005Metric",115.189000,-41.935400,90.000000,top
"C9","4.7uF/DNP/DNP","C_0402_1005Metric",104.444800,-55.041800,-90.000000,top
"D1","LED_Small","LED_0603_1608Metric",114.300000,-59.309000,90.000000,top
"R1","4K7","R_0402_1005Metric",103.327200,-56.921400,-90.000000,top
"R2","4K7","R_0402_1005Metric",104.292400,-56.921400,90.000000,top
"R3","1K","R_0402_1005Metric",114.503200,-57.327800,0.000000,top
"RC4","0R/4.7uF/DNP","C_0402_1005Metric",114.325400,-53.873400,180.000000,top
"RC5","0R/4.7uF/DNP","C_0402_1005Metric",103.505000,-55.041800,-90.000000,top
"U1","STM32F4xx","LQFP-64_10x10mm_P0.5mm",109.220000,-48.133000,180.000000,top
"U3","AP2112K-3.3","SOT-23-5",106.801500,-39.711500,-90.000000,top